hours,total_means,total_std_means,proc
11,2.5312393442622954,0.08387306232144244,2.5358713114754097
12,2.5873311475409837,0.09791868245688862,2.593127868852459
13,2.535737704918033,0.10014790727937115,2.541480327868852
14,2.629432786885246,0.1078249670307582,2.636082786885246
15,2.643059016393442,0.10866646575351749,2.650006557377049
16,2.6318426229508196,0.10849982164979885,2.6391
17,2.6515999999999997,0.10641547403810263,2.658309836065574
18,2.610060655737705,0.09036632783358736,2.614932786885246
19,2.6028983606557374,0.07388963079009232,2.605399180327869
20,2.5272081967213116,0.06912832992621427,2.5296073770491803
