Iteration,Energy,Loss Function,Bias
0,0.10305811750676679,0.09797871310166113,0.0
1,0.07209232551340324,0.07154554925024326,0.04975643474320054
2,0.04667152575895063,0.049336465832335814,0.06344528318715847
3,0.029391693229651485,0.03159623739128516,0.08144659831806711
4,0.016915896213179835,0.019343843799759956,0.10189510915453992
5,0.016501995944022397,0.015555812043433485,0.12305511915404066
6,0.010797521694901753,0.01187708949957841,0.13084742588233703
7,0.007903003265994808,0.007662102419902557,0.14248451594512068
8,0.004305969495105291,0.004635072419351084,0.15772282713865424
9,0.0027243234784494553,0.0030053539145741466,0.17209534026543166
10,0.0013517849029771488,0.0016957687742169204,0.18417922228350878
11,0.0014453910352175672,0.00144508105119835,0.1982755755511442
12,0.0011318872042103013,0.001219172354985312,0.20317661848917046
13,0.0011279384775023564,0.0011277403535581254,0.20982066773479235
14,0.001111964706202821,0.001118488935034307,0.21029812954359833
15,0.0010881068044799806,0.0011027308144527753,0.2113609074966907
16,0.0010813245677839995,0.0010865340095816305,0.2140308828294485
17,0.0010634021854175558,0.0010246626597762729,0.2211789177551079
18,0.0010731742899434688,0.0010058569899361644,0.22438345920309496
19,0.0009648177977494387,0.0009942793467103688,0.22533245718122613
20,0.0009506616424056383,0.000975687763609606,0.22457555792745387
21,0.0009269625502188256,0.0009534442912350581,0.22456583303023336
22,0.0009270439839451821,0.0009406515479666535,0.2248879734493617
23,0.0009236970219754638,0.0009290084040633182,0.22627076482379713
24,0.0009144882729326381,0.0009226085782585491,0.22781715883215298
25,0.0009026653210155882,0.0009122973106214398,0.23109114249121243
26,0.0009047018206185082,0.0009098719430808472,0.23311439404104536
27,0.0009024590211395694,0.0009082373030716725,0.2334967550450878
28,0.0009028808877138935,0.0009052850030867205,0.23475291402039816
29,0.0008905429059940202,0.0009000311176316024,0.23772179081463174
30,0.0008912454619696272,0.0008923857915389594,0.24384452943319432
31,0.000858722526668615,0.0008885751592362341,0.24611520803592224
32,0.0008594409379433781,0.0008863247653345505,0.2479825572255501
33,0.0008594409379433781,0.0008824608976834549,0.2483566882599583
34,0.0008594409379433781,0.0008761006210114838,0.24889876073988124
35,0.0008567584713759879,0.0008677353330401253,0.249513272258985
36,0.0008567584713759879,0.0008637146229314545,0.24985941930731193
37,0.0008565177803297024,0.0008616341973252648,0.2503421898716091
38,0.0008562339138190815,0.0008602320485377001,0.251071458302805
39,0.0008562339138190815,0.0008588061270187431,0.2523337502407473
40,0.0008532454647005009,0.0008562367159170799,0.25501759011912223
41,0.0008426494036566146,0.0008519241825148145,0.26067294122596585
42,0.0008483560425723066,0.0008511703863985003,0.2629613558663155
43,0.0008264182900745816,0.0008441495648127884,0.26635486956076104
44,0.0008248020653346514,0.0008422505153816743,0.27471164595247827
