Iteration,Energy,Loss Function,Bias
0,0.1695042425272787,0.17388475620353191,0.0
1,0.00996981350409605,0.02128204434173927,0.2652399839154111
2,0.01572104226887351,0.017064353539065935,1.1944819513573297
3,0.0007653642781859303,0.012071930410482865,1.2306572130292748
4,0.0009812177450510507,0.010512272190327857,1.4454593161125566
5,0.000266094323651493,0.009220838688827464,1.8258361477483525
6,0.000266094323651493,0.008560726807216005,2.232957981947652
7,0.00027594639774317407,0.008067717418049668,2.473752508225899
8,0.0007724728432469814,0.007726344968985299,2.798107441897942
