Iteration,Energy,Loss Function
0,0.13538854805370112,0.15346133371583567
1,0.04011310547835959,0.13931552079204468
2,0.03494316009559647,0.12214972383798439
3,0.041405241737291314,0.11418662790280072
4,0.012839879510616143,0.10357429028471508
5,0.01608742084214646,0.09112708668390165
6,0.015381284346948859,0.08685502460809988
7,0.005698272975726681,0.0806062382112677
8,0.006366607203128579,0.07910032201399428
9,0.006366607203128579,0.07661377040141253
10,0.008357027685976895,0.07546832888551866
11,0.005876576031540797,0.07455635436733762
12,0.005323304265358606,0.07434103727323159
13,0.005955744109378154,0.07400638481378496
14,0.005249831714979213,0.07353365530488534
15,0.005249831714979213,0.0717831430901621
16,0.005249831714979213,0.07172383190565035
17,0.011303163148635725,0.0712312758809103
18,0.011303163148635725,0.07039613671973645
19,0.011303163148635772,0.06906573113045755
20,0.01516893248535276,0.06730607614638308
21,0.008728128959834165,0.0658260804781026
22,0.011106053706591032,0.0652154977798933
23,0.011310285762429888,0.06430383005088379
24,0.007451087530836909,0.06308675714735855
25,0.005254202840671571,0.06258833601112951
26,0.005323304265358583,0.06239440310277184
27,0.005323304265358606,0.06231267592016229
28,0.005323304265358606,0.062260630606968285
29,0.005423768936369824,0.06217345556789902
30,0.005423768936369848,0.06203264726350763
31,0.005323304265358583,0.06184680894614547
32,0.005323304265358606,0.061759543019830006
33,0.005323304265358583,0.06171167487865211
34,0.005323304265358583,0.06168259290117252
35,0.005082809135050608,0.06164957642052632
36,0.005082809135050608,0.061615227681300934
37,0.005082809135050608,0.061581431107155894
38,0.005451456420275495,0.06155306306727383
39,0.005082809135050608,0.06152559804539617
40,0.005323304265358606,0.06150343736448535
41,0.006059724559737844,0.06147800814075975
42,0.005323304265358606,0.06146289782057394
43,0.005082809135050608,0.061449372909386506
44,0.005097285763690859,0.061434754100189205
45,0.005097285763690859,0.06141782173298007
46,0.005097285763690859,0.06140145213078525
47,0.005955744109378154,0.0613903145723374
48,0.005955744109378154,0.06138080585166389
49,0.005955744109378154,0.06137229155454549
50,0.005955744109378154,0.06135928933173906
51,0.0074909763411826966,0.061344107155564466
52,0.005955744109378154,0.061327929453962635
53,0.005955744109378154,0.06130976728890538
54,0.005955744109378154,0.061298340605799716
55,0.005955744109378154,0.06129387006625042
56,0.005955744109378154,0.06129054992477758
57,0.005955744109378154,0.06128652590081897
58,0.005955744109378154,0.06128033812482235
59,0.005955744109378154,0.06127515141935814
60,0.005955744109378154,0.061271864139318
61,0.005955744109378154,0.06126666754959876
62,0.005955744109378154,0.061258875126575046
63,0.005955744109378154,0.06124957976100086
64,0.005955744109378154,0.061237136450286424
65,0.0074909763411826966,0.06122979478743692
66,0.005955744109378154,0.06121783216771802
67,0.0074909763411826966,0.06120007678082188
68,0.005955744109378154,0.06117987307712367
69,0.009343991824432376,0.06115307750093874
70,0.005955744109378154,0.061136310957141705
