nodes,cost_wo_pp,cost,loss
18,6.640738206660458e-17,-2.4665599053310275e-17,0.23474658924140226
60,2.9204774988539048e-05,2.9204774988498997e-05,0.20920908839077676
210,2.9654167723851197e-05,2.1064705398985836e-05,0.20150512555320313
756,1.9405990326590408e-05,1.4846715420789572e-05,0.19882478165866432
2772,1.245895199795369e-05,8.307257226236859e-06,0.19808443186560593
