Iteration,Energy,Loss Function,Bias
0,0.15046810622332,0.14832977964425303,0.0
1,0.14175329087206787,0.1433111024464214,0.0041772265357402135
2,0.13788686351443116,0.13751226400262476,0.004437669482394066
3,0.13320495810502794,0.1327168459407505,0.004862360535678002
4,0.12926050691961863,0.12811261400559368,0.005430382822744741
5,0.12155400674038723,0.1207684944042703,0.006091596725770781
6,0.11522801362194152,0.11602262949075345,0.007179192231636468
7,0.11474130595848246,0.11473254458321477,0.007472438083932792
8,0.11391320277936012,0.11290824362061483,0.007772880936800448
9,0.11025014721166969,0.10987202028424237,0.008285844442749265
10,0.10988335291512731,0.10861084190940025,0.009171901330215929
11,0.10840431004835205,0.1067237768322391,0.009621314147288909
12,0.10430290025518102,0.10333695065119833,0.010341724875480183
13,0.1000431174208227,0.10050052727839616,0.01171917892773169
14,0.10022165457457634,0.09914367262037768,0.013021575654735322
15,0.09826836339811147,0.09652846615462869,0.013774387672901305
16,0.09417942758668911,0.0938601694800927,0.015236530320454293
17,0.09374947368202753,0.09251565214292957,0.01683835204470574
18,0.09071685168635794,0.09021215442148373,0.01783360805647502
19,0.09055308870545754,0.08918537131342356,0.019582705764137703
20,0.08773549728508183,0.08773934347735086,0.020405924068806678
21,0.0875925642963817,0.08732629490189593,0.021577755052444306
22,0.08738593413988321,0.08670289650429928,0.021953299082059386
23,0.08606055979536206,0.08558131530188676,0.022579991433311228
24,0.08442041420809633,0.08414485883885992,0.023737946910106326
25,0.08334596414848464,0.08237279511097231,0.025344401675309484
26,0.08102476330399214,0.08062720687187327,0.027471477646013966
27,0.07990777814114727,0.07905662301433246,0.029754990017741734
28,0.0781599578256535,0.07686139054953689,0.032043674865794604
29,0.07573805218277181,0.07484392892690779,0.03529845643946919
30,0.07256994010232043,0.0717970837880854,0.038500773123584534
31,0.072181350696833,0.07132996606243763,0.04073451790253943
32,0.06912607582473665,0.06969811386016642,0.0423156085421479
33,0.0701736929179094,0.06892840786963018,0.04527514609583047
34,0.06860953282250361,0.06784349871152663,0.046755198376252555
35,0.06709406022529639,0.06595921639142299,0.048981927244908914
36,0.06257054400412752,0.06277317655153089,0.052999909565517866
37,0.06389348385247433,0.06259781652619761,0.054907494740880435
38,0.06393190876468817,0.06229761963112453,0.05534069144692848
39,0.06204243494992195,0.06106149540753687,0.059203478241557285
40,0.05981562591155648,0.059201256446587275,0.06276835218080348
41,0.05948817625313607,0.05901548142289192,0.06822721219250436
42,0.05914609366214681,0.05868585521525291,0.06879981686485698
43,0.05790434751528771,0.05809535440843312,0.06985581842028417
44,0.057453674310596586,0.05719584929914526,0.07177835521010593
45,0.05665681330974052,0.05564221083492512,0.07474238358131606
46,0.05523003030961436,0.05462414940446379,0.07991193260587397
47,0.052790844903620314,0.052882471834968664,0.08348057806584964
48,0.052595618407964256,0.05200094649667236,0.08964284378597953
49,0.05158395779716175,0.051486825320599006,0.09289519267369871
50,0.051554495386168395,0.05078222261131704,0.094869423620979
51,0.049919076732793916,0.05003414370021566,0.09764244888174557
52,0.048005915410146295,0.04859195549800384,0.10074386882699762
53,0.04882952667798069,0.04840236847195961,0.10264935428494835
54,0.04815702887708546,0.048038542265454606,0.10350924342518648
55,0.04757079876656524,0.04737480487844846,0.1052596545275519
56,0.04725378944574856,0.04653525138113732,0.10849659412008278
57,0.04667289545788335,0.04560494202615547,0.1127759491320038
58,0.045138104637920215,0.044373058082842344,0.11766982307055766
59,0.04290039960977241,0.04179264827998844,0.1311433738583547
60,0.041975576145640715,0.04144237404029591,0.14617212733106125
61,0.041795913944055435,0.04107877857705644,0.1483114696675939
62,0.0413511234199898,0.04051463607971442,0.1506134769949573
63,0.040308410981105075,0.03961156458622447,0.1542682933869393
64,0.03941014741253538,0.038770684169396843,0.16019512156262783
65,0.03901937546671704,0.038120141557876054,0.16602915398034374
66,0.037989146055494936,0.0371297888674524,0.1708547408574757
67,0.03856437833599472,0.036940751642187145,0.1784642305881295
68,0.03722341463829099,0.036607333459508506,0.1799318587798638
69,0.0367559310402101,0.036060396398858524,0.18260317030387624
70,0.036648685838802944,0.03567213179601946,0.18712627036856877
71,0.03573365867655657,0.03497676405762619,0.19046445617769775
72,0.03537755744914708,0.03419792227762341,0.1968794223807415
73,0.0343590199117416,0.0333313153866283,0.20436028384992427
74,0.03376008972703596,0.03289235463025048,0.21297997232698013
75,0.03338701767499598,0.03260120168911119,0.21750240253098635
76,0.0329545234887158,0.03210100882700256,0.22064310668568038
77,0.03234331607645607,0.031565149294646815,0.22606480875020646
78,0.031865487346538386,0.03101171143487802,0.23206816722848683
79,0.031180665585969616,0.03035082108883464,0.2384885838040967
80,0.031241167450957005,0.03022224339779135,0.24640470800855732
81,0.030142770089302176,0.029146347850407067,0.25458665635276134
82,0.030188312408903222,0.029027777555791143,0.2687889751193551
83,0.029197684191067025,0.0288203665005837,0.27038223342840284
84,0.028931503787684082,0.028505047779994862,0.2731921933623296
85,0.028826101586157296,0.027866119391880603,0.29495641609018797
86,0.02788563638082622,0.026931901404982063,0.30406432781433473
87,0.027129669695310926,0.026069007869760942,0.3174224305060729
88,0.027085767622397512,0.02605257948673278,0.33004492983423217
89,0.026441765203422788,0.025482361159873578,0.33524048203446155
90,0.025491341892513574,0.02443124102114231,0.34393625244664344
91,0.02476730223706762,0.024085785711369122,0.3478313409533443
92,0.02444985839119136,0.0238253089067727,0.3532351115292336
93,0.02494693459956019,0.023581176617682702,0.3742366907936639
94,0.02393917077039582,0.023105873860346078,0.37826174121191325
95,0.02404685708215137,0.023055037288311615,0.3861338471474857
96,0.02325050375634627,0.02221710513688044,0.4040045821732312
97,0.02261435540929543,0.021394094341933612,0.41838719375356936
98,0.02149218721610341,0.020384410496033477,0.43258845005520674
99,0.02074326254692709,0.019598227231998694,0.45021930459869686
100,0.020087710661718574,0.019321791259842132,0.46414636788705427
101,0.020260983105429523,0.019011293153854397,0.46908809535674284
102,0.019682002795343278,0.01848694315970573,0.47468577591816036
103,0.0189568072252921,0.017639754046402768,0.484329598625691
104,0.018042000021372094,0.016856458689305385,0.5001901814379619
105,0.017656897584791754,0.01660924523760587,0.5151624139730967
106,0.017145983540516968,0.016211398260606004,0.5200211272630085
107,0.016643760571757413,0.015648850977417233,0.5280120619007694
108,0.01598097468495347,0.01526080494474098,0.5393863879448232
109,0.016064608219736185,0.015150112944075277,0.5422844986190302
110,0.015900972915961972,0.01456371171947202,0.5538209037076545
111,0.014882896313977335,0.013569131085055815,0.5662313983752436
112,0.01377690833179367,0.012767783068544926,0.5770785607417654
113,0.01350483330347062,0.012504099362216489,0.5835562693181862
114,0.013446909980486602,0.01218232073808555,0.589392830458651
115,0.01303765180025914,0.011878414228506134,0.5965988847824486
116,0.012628630951140965,0.011489648158349743,0.60351423631677
117,0.011905171560846495,0.010831392737386657,0.6125172820796347
118,0.012014250058688836,0.01073466193530895,0.6278141689161401
119,0.011272193501448037,0.010007838918288225,0.6391470436224564
120,0.010342671288221693,0.009496115122351842,0.6562511468865793
121,0.010384823734727787,0.009469101529892904,0.6683651053290258
122,0.009597191912881517,0.008668412882868706,0.68205380832213
123,0.010102896212129413,0.00861370665721698,0.7019515063897698
124,0.009584861774517353,0.008513936508973122,0.7033570304061547
125,0.009154956009940875,0.00833127203423607,0.7059400896095825
126,0.008778238553654675,0.008032566746328745,0.710701252053429
127,0.00861291394637755,0.00762429515051663,0.7187294566610276
128,0.00857479308740965,0.007192520018824436,0.7303343257309615
129,0.007927147506479331,0.006627148149078477,0.7430131329218721
130,0.007607629490994235,0.005906538152797061,0.7601324059100607
131,0.006592522085859688,0.005522700862293448,0.7820636058669395
132,0.006529410940090364,0.0049936633631741745,0.7939862829307834
133,0.005652668678696081,0.004487397640337376,0.8105297109405298
134,0.0055474410454631395,0.004008355996264496,0.8267701923474143
135,0.005180950057845194,0.003724141391941754,0.8423362384088657
136,0.004722867544439433,0.003456425990049973,0.8518749575144504
137,0.004136934435575688,0.002988200111261983,0.8612631572100642
138,0.004030037773485566,0.002642503195357086,0.8779848875014548
139,0.0037749682347988827,0.002356087107189302,0.8906410834209725
140,0.003269647887454145,0.001976383729387999,0.9014621582559704
141,0.002892945792493039,0.0015904659919379173,0.9163508740621662
142,0.002890723012680517,0.001388755175235408,0.9315920472260276
143,0.0025368943279825322,0.0010748915405657683,0.940142875774979
144,0.002368268507974581,0.0007696872683704173,0.954314432174843
145,0.002019187807688229,0.0004894835633578278,0.9690814661031582
146,0.0019443465610721137,0.00032220234440239745,0.9833172014518832
147,0.001655648639514915,0.00012224997484968877,0.9926611628168914
148,0.001506700450354015,-6.464027075227362e-05,1.0046368817375886
149,0.0013513850077208514,-0.0002497813080391589,1.0178771946500875
150,0.0012381052436511485,-0.0003319628480296463,1.0324397894516262
151,0.0011692407132611533,-0.0004650187538183516,1.03979375750877
152,0.0010813662878735267,-0.0004997757194401572,1.0520119762602036
153,0.0010390473742602317,-0.000548550317841748,1.055992216263745
154,0.0009801863191615556,-0.0006190759606451052,1.0627709209842173
155,0.0009047045042154336,-0.0007036879865538882,1.0733000390326548
156,0.0008657822817838203,-0.0007430970660835498,1.0884226654354208
157,0.0008527413637255796,-0.000797562067537424,1.096894867128874
158,0.0007681649899895804,-0.0008634927023505866,1.109056485953704
159,0.0007687600726983808,-0.0009077324966897177,1.1262162367794446
160,0.0006607350776020049,-0.0010017766088741304,1.1388031216105314
161,0.000600698399089501,-0.001021122690739034,1.171779440655409
162,0.0005941188477775712,-0.0010415344190270882,1.1797540703103349
163,0.000517783372488935,-0.0010969013713234038,1.1993689255226108
164,0.0005122670875870632,-0.0011111082158914531,1.2080934658712135
165,0.0004941292870236835,-0.001126469985898694,1.2150220216262673
166,0.00045846834384481163,-0.0011604034323021146,1.255383326200533
167,0.00044986527279293064,-0.0011826498264118379,1.2754183689012566
168,0.00042654372368597284,-0.001201372286412529,1.2899503249792625
169,0.00041390080065446507,-0.0012165366967340715,1.3026584137278658
170,0.0004112684439398168,-0.0012306210405831442,1.3138218363346028
171,0.00040058713813375757,-0.0012458128824396574,1.3254365671453
172,0.00039167200681921503,-0.0012585114824751656,1.3390167366275318
173,0.00038387102693838635,-0.0012721549352989066,1.4065602117807563
174,0.00036503653419930746,-0.0012829230037669178,1.471413695085884
