Iteration,Energy,Loss Function,Bias
0,0.12722205378867435,0.10858251463468925,0.0
1,0.10377666542142214,0.10490823208482399,0.16189601836995351
2,0.10377666542142214,0.09789949934978133,0.16605551973583654
3,0.038384879089298794,0.03692709154122466,0.2089270700485483
4,0.009776707773635571,0.017018026900048017,0.2910130209655355
5,0.007331484690318172,0.0051520985481749515,0.3465816810512425
6,0.002884550091147472,-0.0014722131235770394,0.4338382869149326
7,0.0003977145008208417,-0.004815721187936428,0.6221797482534912
8,0.0005650604751137735,-0.00493300689810445,0.6695591210971655
