Iteration,Energy,Loss Function,Bias
0,0.18363694525869495,0.18274666703412018,0.0
1,0.142327893059363,0.13007759003706312,0.06727472379661668
2,0.06186930542809579,0.06027964100466612,0.0944782560929062
3,0.039974524047056384,0.03685335140260024,0.15763042498352298
4,0.026039504374935754,0.01795945637748435,0.19126167318320528
5,0.0016212337696040664,-0.0018216591648423145,0.24138221975771718
6,0.00031878313303388306,-0.005520647357354335,0.3528621081312174
7,0.0003108154057690944,-0.005800150770377344,0.5087981733369855
8,0.0003108154057690944,-0.005988060294522467,0.5814397515896752
9,0.0003108154057690944,-0.006066422578989554,0.6500012408396532
10,0.0003108154057690944,-0.006096925053815203,0.7085159420964846
11,0.0003108154057690944,-0.006105796034620221,0.7405162045713456
12,0.0003108154057690944,-0.006117751496083886,0.7941501821980327
13,0.0003108154057690944,-0.006129602609703543,0.8803147585552278
14,0.0003108154057690944,-0.0061358838440890556,0.9866596935960106
