hours,total_means,total_std_means,proc
11,0.5075311475409836,0.014527492771436275,0.507174262295082
12,0.5187983606557376,0.01625472936781007,0.5186255737704918
13,0.5084786885245902,0.017922127679913292,0.5082960655737705
14,0.5270295081967212,0.01886119569478081,0.5272165573770493
15,0.5300737704918033,0.01863332024863818,0.5300013114754097
16,0.5277393442622952,0.01858589522216652,0.5278200000000001
17,0.5314622950819672,0.019464041363704727,0.5316619672131149
18,0.5231032786885247,0.015336177812803923,0.5229865573770491
19,0.5212278688524591,0.012253285021530589,0.5210798360655737
20,0.5062967213114755,0.012904986546865973,0.505921475409836
