hours,total_means,total_std_means,proc
11,0.5070540983606557,0.019164846351130926,0.507174262295082
12,0.5185655737704918,0.02014124619881499,0.5186255737704918
13,0.5081081967213115,0.017723581541263755,0.5082960655737705
14,0.5269770491803277,0.021484698279126992,0.5272165573770493
15,0.5297409836065572,0.020770860555423456,0.5300013114754097
16,0.5276213114754099,0.0200505845117702,0.5278200000000001
17,0.5316983606557377,0.020448596022215403,0.5316619672131149
18,0.5227524590163934,0.014894499001665529,0.5229865573770491
19,0.5213049180327869,0.012358330650564874,0.5210798360655737
20,0.5056377049180327,0.012419064719337385,0.505921475409836
