nodes,rate,cost
18,0.1,0.0004025296256963451
60,0.1,0.0006601931596872878
210,0.1,0.00016726210923268786
756,0.1,4.839530649873067e-05
756,0.2,0.00022106914161654052
756,0.3,0.0005514952473805198
756,0.4,0.0012000976158784422
756,0.5,0.002129844609505488
