nodes,it,cost_wo_pp,cost,loss
18,11,3.139029486081846e-05,3.139029486081846e-05,0.23682722764599234
60,11,4.3157033461214235e-05,3.193579336831108e-05,0.21021467042876757
210,11,1.8487573819689553e-05,1.6319799849423528e-05,0.2017890915711075
756,11,2.178065840327368e-05,1.6547548680870272e-05,0.1989914127594433
18,12,0.00025736549444031385,6.0619381513532365e-05,0.23484071095648396
60,12,3.4594542935378975e-05,3.4594542935378975e-05,0.20977233286822622
210,12,2.0687192709593343e-05,1.880938031648216e-05,0.20170517878065275
756,12,2.2490707392693233e-05,1.6988813270632784e-05,0.19898931136187567
18,13,6.012825550512529e-05,4.149336466089443e-05,0.23332997541315342
60,13,5.324422679401156e-05,4.054367014137954e-05,0.2095822750533099
210,13,3.255124617769225e-05,2.0868946353663678e-05,0.20168522465485625
756,13,1.8618837974494292e-05,1.3204055624499672e-05,0.19889504154366477
18,14,6.568449755636417e-05,3.720344131825488e-05,0.2331134481163502
60,14,4.3029860654539286e-05,4.195879176278045e-05,0.20961610193795452
210,14,3.563120679714795e-05,2.3078669080089376e-05,0.20168703494205453
756,14,2.2844547509499696e-05,1.885605497879514e-05,0.19898501669689214
18,15,3.1549114259539634e-05,7.514716156950005e-06,0.23293374438246478
60,15,2.9362379926362415e-05,2.498353797274475e-05,0.20954509703857369
210,15,3.734134500433704e-05,2.8115593084960067e-05,0.20166821273705537
756,15,2.66749286228545e-05,1.7382725492951807e-05,0.19898519620561583
18,16,1.3075515944607814e-05,1.3075515944607814e-05,0.23235466461764973
60,16,4.260058412935961e-05,3.9835335279756636e-05,0.20940966963922694
210,16,4.1349615679451615e-05,2.5879002256055664e-05,0.20163360933089156
756,16,2.5623820271373908e-05,1.6102186678369217e-05,0.19893777180660235
18,17,1.5072285291976597e-05,1.5072285291976597e-05,0.2324040702082364
60,17,2.4842317405952982e-05,2.4842317405952982e-05,0.20916571767980094
210,17,3.342432645731133e-05,3.14319912624416e-05,0.2015628665523441
756,17,2.3917036398357278e-05,1.6724271324496576e-05,0.19888927674283635
18,18,1.0598194606136536e-05,1.001610922910205e-05,0.23178661866323147
60,18,2.570696714875985e-05,2.5706967148784396e-05,0.20871863702299573
210,18,2.1643244529381254e-05,1.8924179026554896e-05,0.20138737008208737
756,18,1.3235169028191247e-05,9.338686179921007e-06,0.1987563999281789
18,19,1.834937081865418e-05,1.1240644343499435e-05,0.23141317426951108
60,19,1.6549529991387793e-05,8.671041527843363e-06,0.20825671886322192
210,19,1.6219467958607772e-05,1.431208102511924e-05,0.2013034348874795
756,19,9.821951444973473e-06,6.70700470301008e-06,0.19864735876236891
18,20,0.00010867247526075297,5.9959978184914375e-05,0.23120273172580164
60,20,2.7220307465552137e-05,2.1724993017186024e-05,0.20801630621750758
210,20,2.7304295631168635e-05,2.330068103469629e-05,0.201327867859554
756,20,1.1433091745083072e-05,7.291487577044251e-06,0.19861845470703873
