nodes,it,cost_wo_pp,cost,loss
756,11,0.00016738591794137364,0.00012237635230714694,0.08553913499916183
756,12,0.00018514089603580025,0.00014046081950392942,0.08558377495480068
756,13,0.00019862749635099762,0.00015466544929675137,0.08515322702007766
756,14,0.00023770693706780745,0.0001741668322443311,0.08561855398957956
756,15,0.00025539476559437114,0.00017288916675029824,0.0856180706452947
756,16,0.00026862721207763417,0.0001564558686755892,0.08543941056145268
756,17,0.0001931839148535465,0.00012739354969554798,0.08525035263124262
756,18,0.00014902504343215203,0.00011351955582994557,0.0846577535242949
756,19,9.331236162560146e-05,6.372715103408199e-05,0.08414010467273277
756,20,9.534312692855149e-05,6.087100752430859e-05,0.08399642290808196
