hours,total_means,total_std_means,proc
11,2.027004918032787,0.05068805409829785,2.028697049180328
12,2.071247540983607,0.05988146653963015,2.074502295081967
13,2.0295819672131143,0.06350692103291491,2.033184262295082
14,2.105381967213115,0.06936834802419244,2.1088662295081972
15,2.11642131147541,0.06956021124496364,2.120005245901639
16,2.1077393442622947,0.06700069801126132,2.1112800000000003
17,2.123377049180328,0.0653832870644956,2.1266478688524595
18,2.089509836065574,0.05018856804361136,2.0919462295081965
19,2.0829524590163935,0.03638693066832424,2.084319344262295
20,2.0224229508196725,0.03391734598263517,2.023685901639344
