nodes,it,cost_wo_pp,cost,loss
756,11,0.00032333423909048796,0.00024377633408930588,0.009099749554026027
756,12,0.0004903461734336415,0.00028485576592851786,0.009079246073346672
756,13,0.00044317220928485993,0.0002609133089671177,0.007780470044221162
756,14,0.0004046910810782184,0.00022535190597923566,0.008965488399834895
756,15,0.00041320032518982034,0.00021653511577368774,0.008938534188866977
756,16,0.00040201527835873133,0.0003018299814966724,0.008494097113764799
756,17,0.0004636243582704099,0.00030562945395435997,0.008078074025821419
756,18,0.0005072075611644473,0.0003419388264977909,0.006725364035010035
756,19,0.0004141347498225202,0.00032920104385763974,0.005533082415978246
756,20,0.00043310068805488093,0.0002963347616120115,0.005139849913967123
