nodes,cost_wo_pp,cost,loss
18,6.640738206660458e-17,-2.4665599053310275e-17,0.23473199518134
60,2.4056924780277917e-05,2.4056924780277917e-05,0.20918473628675438
210,3.4488315157004625e-05,3.4080284378545335e-05,0.20150528414772348
756,1.4778310306053208e-05,1.3216286729010621e-05,0.19882462180854385
2772,1.255022963441916e-05,7.73655010661399e-06,0.19808442638012824
