hours,total_means,total_std_means,proc
11,0.5154049180327869,0.044969189547954265,0.507174262295082
12,0.5274786885245902,0.04525203053049102,0.5186255737704918
13,0.5142950819672132,0.03297239494292111,0.5082960655737705
14,0.5354180327868854,0.04629500383126273,0.5272165573770493
15,0.5410819672131149,0.047633190344124346,0.5300013114754097
16,0.5346524590163935,0.041769121886072326,0.5278200000000001
17,0.5400573770491804,0.047190828016234615,0.5316619672131149
18,0.5283377049180328,0.031386366278612465,0.5229865573770491
19,0.5248983606557378,0.026100175816274097,0.5210798360655737
20,0.5101049180327869,0.023103008293432183,0.505921475409836
