nodes,it,cost_wo_pp,cost,loss
756,11,6.721514228533754e-05,4.673705918313527e-05,0.1430490349236039
756,12,7.541408168041275e-05,5.499975771046128e-05,0.14306863381841006
756,13,7.938425351603488e-05,5.864401656859758e-05,0.142849255718367
756,14,9.911782139727372e-05,7.149207802592195e-05,0.14308646162538963
756,15,0.00010017582787992673,6.765646701013655e-05,0.14308561420576774
756,16,9.457046443641528e-05,6.596805718373837e-05,0.14298402487893866
756,17,8.400587143210887e-05,5.9834706382882034e-05,0.14288168530500805
756,18,6.099882725830009e-05,4.435366143215558e-05,0.14256402375513505
756,19,4.176311259060168e-05,3.091182415786832e-05,0.142293442839184
756,20,3.6803906861497944e-05,2.7883364322046415e-05,0.14221965003503803
