hour,dev_mean,dev_std,cv_mean,cv_std,cost_mean,cost_std,nodes,rate
11,0.004184918032787,0.00021020996401393204,3.565720255085237e-06,7.103991837747772e-08,0.0002819437657100125,2.2228065554536606e-05,756,0.4
12,0.005208360655737732,0.00019358851125629564,3.966539652853749e-06,8.631461300313945e-08,0.00032135343947720655,2.9793527764642665e-05,756,0.4
13,0.005692786885246104,0.0003093237155122648,4.197337851945732e-06,1.0553964085459787e-07,0.0003421709642416679,3.852913734871236e-05,756,0.4
14,0.0067211475409842516,0.00035780261171382684,4.266171093017221e-06,8.663893079797323e-08,0.0003201933227141037,3.2452546309107754e-05,756,0.4
15,0.006732295081966733,0.00031340665305639565,4.261974646929121e-06,7.527995023063127e-08,0.00032085266401237053,2.7986581286171262e-05,756,0.4
16,0.0066296721311478015,0.0003276089543678749,4.285674802963739e-06,6.326957890449128e-08,0.00036030446228019187,2.369508309925747e-05,756,0.4
17,0.006449180327869408,0.00038694970288279405,4.092018878927741e-06,1.069930512944683e-07,0.0003177240342321254,3.864815729288257e-05,756,0.4
18,0.004457377049180078,0.00017547233450710095,3.5042725728635663e-06,8.435573583183163e-08,0.00028588215958593225,2.596537665943683e-05,756,0.4
19,0.0028460655737706287,0.00031696631225838686,2.8517351330311395e-06,5.9507040558489127e-08,0.00022402084664713598,1.4998993383182161e-05,756,0.4
20,0.0024347540983604256,0.00023126703108479992,2.7289956758080306e-06,6.064885190162613e-08,0.0002046071368402201,1.4613793222527078e-05,756,0.4
