nodes,it,cost_wo_pp,cost,loss
756,11,0.00023540861141516757,0.00018368730846659477,0.03391225790586381
756,12,0.00030624570205810264,0.00022660362583784482,0.03396514019954112
756,13,0.00032643289535764483,0.00023924623011614633,0.033185384813376496
756,14,0.00034651159627503475,0.0002716350452867848,0.03398493534480703
756,15,0.0003612067007523188,0.00024345511426724964,0.03398331981389185
756,16,0.0003775147676195632,0.0002685793815658672,0.033686667050970995
756,17,0.0003423560417981963,0.000245497994465406,0.03337972162768337
756,18,0.00026703108207378655,0.00017771777267814933,0.032407263775224904
756,19,0.00016926007998830715,0.00011607373050940737,0.0315475187776196
756,20,0.00018416652823306643,0.00011619045949105755,0.03129630445742029
