hours,total_means,total_std_means,proc
11,2.025626229508197,0.06553493600060248,2.028697049180328
12,2.070416393442623,0.07626077603042888,2.074502295081967
13,2.028559016393442,0.07927953527731237,2.033184262295082
14,2.103783606557377,0.08700583771695328,2.1088662295081972
15,2.1143098360655737,0.08561229363406053,2.120005245901639
16,2.105901639344262,0.08494603396178742,2.1112800000000003
17,2.121726229508197,0.08247547653724521,2.1266478688524595
18,2.0883737704918035,0.06544695737806064,2.0919462295081965
19,2.0823032786885247,0.049653385360665915,2.084319344262295
20,2.021916393442623,0.047188325801100175,2.023685901639344
