hours,total_means,total_std_means,proc
11,2.0401754098360656,0.1306124722984524,2.028697049180328
12,2.088550819672131,0.14109683876389364,2.074502295081967
13,2.043470491803279,0.12186351724033065,2.033184262295082
14,2.121981967213115,0.14374896892938477,2.1088662295081972
15,2.1334573770491807,0.15084276740489094,2.120005245901639
16,2.125418032786885,0.14141565117104285,2.1112800000000003
17,2.1373754098360656,0.13746087927024936,2.1266478688524595
18,2.10192131147541,0.10689417643472017,2.0919462295081965
19,2.09315737704918,0.08934322923150681,2.084319344262295
20,2.0347016393442625,0.08271725788135696,2.023685901639344
