nodes,rate,cost,std
18,0.1,0.000583760190955015,0.0008466309533454348
60,0.1,9.945031613584332e-05,2.6245848292376844e-05
210,0.1,5.5182333084834475e-05,7.023388103580291e-06
756,0.1,2.701315012716261e-05,1.844133038605623e-06
756,0.2,8.73489685874588e-05,6.662963318216105e-06
756,0.3,0.0001745012626381088,1.4563408427496502e-05
756,0.4,0.0003117894594099315,2.8819618360632775e-05
756,0.5,0.0005424917723072875,6.507293045374639e-05
