Iteration,Energy,Loss Function,Bias
0,0.14418921698030482,0.1498045426529146,0.0
1,0.10044470390377223,0.10978303433723627,0.08522570450343742
2,0.08957382047938599,0.09344150064861047,0.10967716754156276
3,0.07401995717300612,0.08115426955288998,0.12987578729067017
4,0.06662546337053302,0.06971311139247158,0.15505724878881202
5,0.05647009776678656,0.060874489916216745,0.18071138260940486
6,0.047120879214460336,0.051889333103544086,0.20943525327267942
7,0.03780194204608739,0.04150654629318279,0.24309979120910402
8,0.026402043372694164,0.03191196710452498,0.28856441561586127
9,0.022413278513706312,0.025628956818476448,0.342407000743839
10,0.015789608389235415,0.020434320763363746,0.38697759621419603
11,0.012916583756986188,0.016204592974793784,0.43363744525342834
12,0.007800833934295388,0.01169356574321796,0.47786477181911063
13,0.005740611841010104,0.008819515721942487,0.5542459839945568
14,0.0033178820034019643,0.006874177800767493,0.620051687678389
15,0.002368329690093065,0.0054938003563625975,0.7034597542030939
16,0.0004676843000975664,0.0037030144970187986,0.7930393948017597
17,0.00021915606783325597,0.003367801052910594,0.9435420039814519
18,0.0002565807240583984,0.0032898957509910186,0.9958489762931003
