Iteration,Energy,Loss Function,Bias
0,0.16392112465764358,0.16128768611471464,0.0
1,0.13098391143914892,0.13091876496811578,0.048492611331629194
2,0.09515822771110004,0.10367256190991264,0.06193880183936055
3,0.07330339774051119,0.08045114829367336,0.08140837339298289
4,0.05567139561126581,0.06214400154223588,0.10499975176968557
5,0.04774579109883643,0.05065977888337717,0.13264399421236472
6,0.03580412284567495,0.04011109699521805,0.15512190021712294
7,0.027832906203632428,0.03316659519780189,0.18387921220128395
8,0.020712156599906724,0.02627656370550961,0.20873431479992416
9,0.01654492381026471,0.02156627025838119,0.24430575465019208
10,0.01392717682862687,0.018095619807547838,0.2782723637000109
11,0.011696619699363517,0.01643023795251965,0.31525852082763167
12,0.00826321232871712,0.013325605328797372,0.3385504676631418
13,0.007557553052814882,0.012308326560325746,0.35707566621858333
14,0.006870504070251963,0.010899731069852021,0.37747216411162926
15,0.005084164642240588,0.009178090942623642,0.40853743699372724
16,0.004063669024776768,0.008101314537341623,0.456032884914134
17,0.0035867843442394577,0.007159590141166131,0.5018480798383163
18,0.001890647069453699,0.00578142178499723,0.5670692288750713
19,0.0021146693365062595,0.005634552699980739,0.5957157466224082
20,0.0017736844899240633,0.005427073139254706,0.6095342920711342
21,0.0016831427516733886,0.005195042366619851,0.6332305826060123
22,0.0012744254467970428,0.0049249627168862315,0.6601847425632058
23,0.0011956362072803749,0.004755246810961225,0.6966318565398897
24,0.001099241476532268,0.004604092702663494,0.7262215007014964
25,0.0009984661434889518,0.004504655415249963,0.761979727287616
26,0.0009984661434889518,0.004450941930049322,0.789689989271163
27,0.0008580344034312574,0.0042261142609421485,0.8910544677820083
28,0.0007475878832165949,0.004177160310831983,0.9777743661600522
