Iteration,Energy,Loss Function,Bias
0,0.15756890614717306,0.1511485967014063,0.0
1,0.100057747193411,0.10669972677225596,0.14468760849328627
2,0.0665924307870794,0.07515836250336727,0.20378313090043645
3,0.035901901082159404,0.045498640715861356,0.3025930634217271
4,0.025090615928911302,0.035453836198550887,0.4594836285251894
5,0.018669624268547184,0.02718941874257947,0.5430267334468469
6,0.014393451778376433,0.02074303393564736,0.6569861196447955
7,0.008911272758468706,0.016482198589863276,0.7683518630910188
8,0.0038487277771836986,0.011113203561801453,0.8722334336936864
9,0.0027329185582509285,0.008716161510448222,1.0741588263998834
10,0.0009555566196137766,0.007189650054704097,1.1821656523621678
11,0.0006528002894036041,0.006267265937461993,1.2922393985131722
12,0.0007346758069122555,0.00596069463980811,1.3757295276914274
